"","","cl_lum","cl_den"
"415",2.431,1,3
"416",1.474,1,4
"417",2.597,1,1
"418",2.014,4,3
"419",2.461,3,2
"420",2.41,3,1
"421",1.313,2,3
"422",1.736,2,3
"423",1.675,4,2
"424",2.22,2,3
"425",2.212,4,2
"426",2.313,3,2
"427",1.469,2,2
"428",1.381,4,3
"429",2.456,2,3
"430",2.113,2,3
"431",2.551,3,2
"432",2.384,2,2
"433",2.257,3,1
"434",2.303,4,2
"435",2.269,4,3
"436",1.68,3,3
"437",2.084,1,3
"438",2.514,4,1
"439",1.722,4,3
"440",1.331,4,3
"441",1.792,4,3
"442",2.103,3,3
"443",1.629,1,3
"444",2.048,2,3
"445",1.785,2,4
"446",1.617,3,3
"447",1.825,3,3
"448",2.4,3,3
"449",1.934,3,3
"450",1.256,3,3
"451",1.24,2,3
"452",1.764,2,3
"453",2.157,3,4
"454",2.455,1,2
"455",2.68,2,2
"456",1.382,2,3
"457",2.098,2,4
"458",1.248,2,4
"459",1.336,3,4
"460",2.525,2,2
"461",1.857,3,4
"462",1.987,2,3
"463",2.063,3,5
"464",2.295,2,4
"465",1.518,1,3
"466",2.49,1,1
"467",2.388,1,3
"468",1.853,1,3
"469",2.745,2,1
"470",2.64,3,2
"471",1.712,1,3
"472",0.8608,2,4
"473",1.242,3,5
"474",1.726,2,4
"475",2.289,2,3
"476",2.374,2,2
"477",1.646,3,2
"478",1.204,3,4
"479",2.389,2,2
"480",2.562,1,2
"481",1.461,3,4
"482",2.256,2,2
"483",2.352,3,4
"484",1.652,1,4
"485",1.541,1,4
"486",2.037,2,4
"487",1.579,2,3
"488",0.5263,2,3
"489",2.345,1,1
"490",1.336,2,3
"491",1.953,3,4
"492",1.473,3,3
"493",1.517,2,3
"494",1.839,2,3
"495",1.701,1,3
"496",1.501,2,4
"497",2.312,2,2
"498",1.629,3,4
"499",1.37,5,3
"500",0.9874,4,3
"501",0.9321,2,5
"502",1.279,3,3
"503",2.161,3,2
"504",2.283,3,3
"505",2.554,3,2
"506",1.414,1,3
"507",2.373,1,5
"508",1.898,3,3
"509",1.69,2,3
"510",2.325,2,2
"511",1.54,2,4
"512",1.984,1,3
"513",2.215,2,2
"514",2.323,2,3
"515",1.25,3,4
"516",1.936,3,5
"517",1.321,1,3
"518",2.236,3,3
"519",0.9716,3,4
"520",2.261,4,3
"521",1.872,1,4
"522",2.056,4,3
"523",2.17,1,5
"524",1.593,2,3
"525",1.673,1,4
"526",1.464,4,4
"527",2.571,2,1
"528",2.411,3,3
"529",1.568,3,3
"530",2.382,3,1
"531",2.484,2,2
"532",2.223,1,1
"533",2.135,3,3
"534",2.148,2,2
"535",1.611,2,2
"536",1.62,3,3
"537",2.31,3,3
"538",2.647,3,1
"539",2.786,5,1
"540",2.425,5,3
"541",2.282,5,4
"542",2.365,5,3
"543",1.726,5,3
"544",1.314,1,3
"545",2.435,2,2
"546",0.729,2,5
"547",2.374,4,3
"548",1.327,2,5
"549",2.131,1,3
"550",2.293,2,5
"551",2.591,4,1
"552",1.971,3,2
"553",2.434,3,3
"554",2.476,4,1
"555",2.31,4,1
"556",1.644,3,3
"557",1.17,3,5
"558",2.352,3,2
"559",2.271,1,5
"560",1.384,1,4
"561",1.527,1,4
"562",0.9977,3,5
"563",1.675,4,2
"564",2.37,4,3
"565",2.587,4,2
"566",1.74,4,1
"567",1.419,4,3
"568",2.161,3,3
"569",1.529,3,4
"570",2.322,2,4
"571",1.616,1,2
"572",1.795,1,4
"573",2.491,5,1
"574",1.764,4,3
"575",2.721,4,1
"576",1.967,4,3
"577",2.09,5,3
"578",1.653,5,3
"579",2.494,3,1
"580",1.506,4,3
"581",2.407,3,2
"582",1.976,3,2
"583",2.095,1,4
"584",2.008,2,2
"585",0.9859,1,5
"586",1.431,3,3
"587",1.468,4,3
"588",1.521,3,3
"589",2.568,4,2
"590",2.424,2,3
"591",2.276,3,4
"592",1.743,3,4
"593",1.442,2,3
"594",1.953,2,3
"595",1.618,4,2
"596",1.453,4,3
"597",1.592,2,5
"598",2.421,2,4
"599",1.593,2,3
"600",1.534,1,4
"601",2.189,1,4
"602",1.295,2,4
"603",2.609,2,2
"604",1.25,1,5
"605",2.303,3,3
"606",2.004,5,3
"607",2.096,5,3
"608",2.123,4,3
"609",2.566,2,2
"610",2.285,3,3
"611",2.117,5,4
"612",2.365,3,1
"613",1.409,2,2
"614",2.466,2,3
"615",2.368,1,3
"616",2.505,2,2
"617",1.601,3,4
"618",2.178,3,4
"619",2.105,2,2
"620",2.349,2,3
"621",2.439,2,2
"622",2.518,2,2
"623",2.159,1,2
"624",1.527,3,4
"625",1.839,1,2
"626",1.791,3,4
"627",2.617,3,1
"628",1.533,4,4
"629",2.187,4,4
"630",1.206,4,4
"631",2.235,1,1
"632",2.854,2,4
"633",1.268,2,5
"634",1.589,3,5
"635",2.102,3,3
"636",2.331,3,3
"637",1.7,1,2
"638",1.912,2,3
"639",1.972,2,2
"640",1.366,1,5
"641",1.922,1,2
"642",1.982,1,3
"643",1.988,1,1
"644",2.321,3,3
"645",1.054,1,4
"646",2.531,3,2
"647",1.606,1,4
"648",2.403,3,4
"649",2.577,3,2
"650",1.812,3,4
"651",2.155,2,4
"652",1.547,1,4
"653",2.178,1,4
"654",2.468,1,3
"655",2.058,3,3
"656",1.659,1,3
"657",1.703,3,3
"658",1.448,1,3
"659",2.079,1,3
"660",1.296,1,3
"661",3.757,2,1
"662",1.916,1,2
"663",1.497,1,3
"664",1.349,1,2
"665",2.296,1,2
"666",1.677,4,5
"667",1.925,1,2
"668",2.203,2,3
"669",1.449,2,5
"670",2.488,3,2
"671",2.613,2,1
"672",2.161,1,2
"673",1.313,4,3
"674",1.666,4,3
"675",2.397,2,3
"676",2.067,3,2
"677",1.493,2,3
"678",2.142,2,2
"679",1.526,1,2
"680",1.497,1,4
"681",1.607,3,5
"682",1.075,2,3
"683",2.32,2,2
"684",1.925,2,3
"685",1.244,2,3
"686",2.145,2,1
"687",1.171,1,4
"688",1.03,2,5
"689",1.262,1,3
"690",1.85,1,3
"691",1.521,2,3
"692",1.821,2,3
"693",1.785,1,3
"694",2.506,1,2
"695",1.818,1,2
"696",1.335,4,3
"697",2.336,4,4
"698",2.324,4,2
"699",2.014,4,2
"700",2.64,4,2
"701",2.152,4,4
"702",1.327,2,3
"703",1.324,3,4
"704",2.293,4,1
"705",1.804,3,3
"706",1.416,4,2
"707",2.337,4,2
"708",2.545,4,1
"709",2.524,4,2
